sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
analysis-of-revenue-collection-of-provincial-councils-profit-and-dividends-total			-	-	-	-	-	-	-	-	-	-	1,261	2,187	2,422	1,955	1,181	810	745	565	355	282	-	-	-	175	210																																																																										
analysis-of-revenue-collection-of-provincial-councils-other-revenue-western			5,374.00	20,969	20,683.00	19,966	16,240	14,204	13,668	11,548	13,298	2,855	2,500	887	792	931	652	581	489	446	394	n.a.	422.44	614																																																																													
analysis-of-revenue-collection-of-provincial-councils-other-revenue-central			861.00	4,013	3,863.00	3,688	2,992	2,582	2,498	2,009	2,058	334	248	288	185	235	169	127	120	92	29	n.a.	38	68																																																																													
analysis-of-revenue-collection-of-provincial-councils-other-revenue-southern			4,305.00	4,616	4,309.00	4,191	3,052	2,824	2,680	2,228	2,381	510	360	354	379	308	225	196	192	127	101	n.a.	88	74																																																																													
analysis-of-revenue-collection-of-provincial-councils-other-revenue-northern			859.00	2,597	2,347.00	2,808	2,237	1,456	1,249	1,008	1,035	81	53	32	21	28	-	-	-	-	-	n.a.	-	-																																																																													
analysis-of-revenue-collection-of-provincial-councils-other-revenue-eastern			715.00	2,275	2,251.00	2,184	1,820	1,527	1,354	1,259	1,139	202	202	44	27	50	-	-	-	-	-	n.a.	-	-																																																																													
analysis-of-revenue-collection-of-provincial-councils-other-revenue-north-western			1,427.00	4,569	4,290.00	4,066	3,266	2,833	3,951	2,616	2,663	1,299	489	313	246	360	251	210	159	146	82	n.a.	78.79	32																																																																													
analysis-of-revenue-collection-of-provincial-councils-other-revenue-north-central			1,007.00	2,558	2,686.00	2,454	2,253	1,675	1,292	1,532	1,281	415	276	95	101	152	121	88	72	69	42	n.a.	32	116																																																																													
analysis-of-revenue-collection-of-provincial-councils-other-revenue-uva			2,970.00	2,292	2,353.00	2,201	1,938	1,552	1,504	1,344	1,302	220	174	113	87	108	75	71	53	42	44	n.a.	45.68	35																																																																													
analysis-of-revenue-collection-of-provincial-councils-other-revenue-sabaragamuwa			875.00	2,461	2,370.00	2,350	2,239	1,332	1,403	1,292	1,414	416	214	203	146	235	167	179	105	99	65	n.a.	54.25	80																																																																													
analysis-of-revenue-collection-of-provincial-councils-other-revenue-total			18,391	42,414	45,151	43,909	36,038	29,986	29,599	25,837	26,571	6,332	4,516	2,328	1,751	2,388	1,714	1,501	1,235	1,021	780	776	-	1,072	584	425	221																																																																										
