sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
staff-cost-to-operating-expenses						55.00	55.40	54.20	54.30	51.10	52.10	47.30	54.00	52.80	51.50	49.50	53.80	53.40	54.90	53.10	38.30	46.00	43.60	42.50	46.00	42.00	43.60	46.20																																																																									
net-interest-income-(nii)-to-average-assets-(net-interest-margin)						3.40	3.40	3.20	3.20	3.50	3.80	3.10	2.20	3.30	4.00	4.10	3.40	2.90	3.50	4.20	4.10	4.60	4.80	3.50	2.90	3.30	3.20	3.00																																																																									
statutory-liquid-asset-ratio-(slar)-–-domestic-banking-unit-(dbu)						60.40	53.10	47.70	61.60	61.40	68.50	77.70	80.30	61.40	65.40	74.30	71.10	61.90	61.00	63.60	69.40	69.40	60.30	31.70	37.20	22.30	39.70	33.20																																																																									
credit-to-total-deposits						51.60	59.50	65.70	65.60	63.00	59.80	62.10	56.30	56.50	52.90	48.80	49.70	56.00	58.90	53.50	43.80	52.50	52.30	54.10	61.50	68.70	69.30	64.60																																																																									
gross-loans-and-advances						802,141	760,057	712,511	639,706	533,230	456,961	440,670	347,117	318,644	272,053	211,171	189,468	178,204	167,645	138,604	101,115	106,788	94,783	81,868	82,047	80,521	71,831	58,730																																																																									
gross-non-performing-advances						55,213	42,142	33,924	27,363	24,036	29,440	41,946	32,136	20,387	18,435	16,731	19,685	15,875	11,290	9,317	8,936	11,073	10,878	10,817	12,282	11,138	11,490	7,104																																																																									
capital-funds						103,782	87,710	89,558	73,478	61,345	62,580	77,766	70,714	68,980	65,420	58,251	45,267	39,729	38,069	32,776	32,674	35,160	31,378	25,010	21,769	19,156	16,735	14,689																																																																									
core-capital-(tier-1-capital)						71,929	63,495	64,245	58,635	52,560	53,325	69,668	58,248	58,105	54,569	50,483	39,594	37,006	21,364	19,589	17,809	23,079	21,450	18,229	16,477	15,575	14,608	12,550																																																																									
capital-base						89,825	80,701	74,504	71,373	59,367	53,399	64,214	52,453	53,985	49,800	49,297	36,875	30,359	20,816	18,709	13,866	16,530	17,349	16,473	15,228	14,570	13,591	12,480																																																																									
deposits						1,553,621	1,277,529	1,084,612	974,574	846,146	764,155	709,671	617,081	564,077	513,813	432,606	380,984	317,985	284,609	258,920	230,979	203,280	181,206	151,233	133,387	117,262	103,583	90,974																																																																									
demand-deposits						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																									
borrowings						105,454	142,642	192,276	264,616	251,251	239,431	262,011	189,887	77,185	68,780	56,620	54,733	57,993	65,621	49,580	43,939	58,256	53,762	48,630	52,443	51,637	49,428	44,838																																																																									
contingencies						2,603	1,554	44,416	72,757	81,724	76,100	87,005	65,532	7,978	5,495	4,738	2,989	1,616	1,468	2,070	11,136	11,097	10,410	8,758	12,539	12,242	13,383	12,754																																																																									
gross-loans-and-advances-market-share						8.80	9.40	9.30	9.90	10	10	11	10	10	10	11	12	10.90	10.90	10.70	10.10	13.10	14.10	13.50	13.80	15.40	16.50	15.80																																																																									
deposits-market-share						14	14	13	13	13	14	15	15	16	17	17	17	16.90	16.30	17.30	18.10	18.80	19.90	19.10	19.10	19.20	19.20	18.90																																																																									
borrowings-market-share						6	8	11	16	15	14	18	19	10	11	11	14	12.70	14.90	12.80	15.20	27.50	28.30	29.00	26.70	24.30	36.40	37.80																																																																									
foreign-exchange-income-(net)						391	304	1,164	321	340	289	223	-931	-89	-173	-41	-30	44	4	12	2	0	0	2	31	18	19	1																																																																									
number-of-banks-gampaha						5	5	5	5	5	5	7	7	7	7	7	6	6																																																																																			
number-of-branches-gampaha						52	50	49	49	42	42	46	45	44	44	44	41	39																																																																																			
number-of-other-banking-outlets-gampaha						0	0	27	27	27	27	27	27	27	27	27	27	27																																																																																			
