sub4	2025-Q1	2024-Q4	2024-Q3	2024-Q2	2024-Q1	2023-Q4	2023-Q3	2023-Q2	2023-Q1	2022-Q4	2022-Q3	2022-Q2	2022-Q1	2021-Q4	2021-Q3	2021-Q2	2021-Q1	2020-Q4	2020-Q3	2020-Q2	2020-Q1	2019-Q4	2019-Q3	2019-Q2	2019-Q1	2018-Q4	2018-Q3	2018-Q2	2018-Q1	2017-Q4	2017-Q3	2017-Q2	2017-Q1	2016-Q4	2016-Q3	2016-Q2	2016-Q1	2015-Q4	2015-Q3	2015-Q2	2015-Q1	2014-Q4	2014-Q3	2014-Q2	2014-Q1	2013-Q4	2013-Q3	2013-Q2	2013-Q1	2012-Q4	2012-Q3	2012-Q2	2012-Q1	2011-Q4	2011-Q3	2011-Q2	2011-Q1	2010-Q4	2010-Q3	2010-Q2	2010-Q1	2009-Q4	2009-Q3	2009-Q2	2009-Q1	2008-Q4	2008-Q3	2008-Q2	2008-Q1	2007-Q4	2007-Q3	2007-Q2	2007-Q1	2006-Q4	2006-Q3	2006-Q2	2006-Q1	2005-Q4	2005-Q3	2005-Q2	2005-Q1	2004-Q4	2004-Q3	2004-Q2	2004-Q1	2003-Q4	2003-Q3	2003-Q2	2003-Q1	2002-Q4	2002-Q3	2002-Q2	2002-Q1	2001-Q4	2001-Q3	2001-Q2	2001-Q1	2000-Q4	2000-Q3	2000-Q2	2000-Q1	1999-Q4	1999-Q3	1999-Q2	1999-Q1	1998-Q4	1998-Q3	1998-Q2	1998-Q1	1997-Q4	1997-Q3	1997-Q2	1997-Q1	1996-Q4	1996-Q3	1996-Q2	1996-Q1	1995-Q4	1995-Q3	1995-Q2	1995-Q1	1994-Q4	1994-Q3	1994-Q2	1994-Q1	1993-Q4	1993-Q3	1993-Q2	1993-Q1	1992-Q4	1992-Q3	1992-Q2	1992-Q1	1991-Q4	1991-Q3	1991-Q2	1991-Q1	1990-Q4	1990-Q3	1990-Q2	1990-Q1	1989-Q4	1989-Q3	1989-Q2	1989-Q1	1988-Q4	1988-Q3	1988-Q2	1988-Q1	1987-Q4	1987-Q3	1987-Q2	1987-Q1	1986-Q4	1986-Q3	1986-Q2	1986-Q1	1985-Q4	1985-Q3	1985-Q2	1985-Q1	1984-Q4	1984-Q3	1984-Q2	1984-Q1	1983-Q4	1983-Q3	1983-Q2	1983-Q1	1982-Q4	1982-Q3	1982-Q2	1982-Q1	1981-Q4	1981-Q3	1981-Q2	1981-Q1	1980-Q4	1980-Q3	1980-Q2	1980-Q1	1979-Q4	1979-Q3	1979-Q2	1979-Q1	1978-Q4	1978-Q3	1978-Q2	1978-Q1	1977-Q4	1977-Q3	1977-Q2	1977-Q1	1976-Q4	1976-Q3	1976-Q2	1976-Q1	1975-Q4	1975-Q3	1975-Q2	1975-Q1	1974-Q4	1974-Q3	1974-Q2	1974-Q1	1973-Q4	1973-Q3	1973-Q2	1973-Q1	1972-Q4	1972-Q3	1972-Q2	1972-Q1	1971-Q4	1971-Q3	1971-Q2	1971-Q1	1970-Q4	1970-Q3	1970-Q2	1970-Q1	1969-Q4	1969-Q3	1969-Q2	1969-Q1	1968-Q4	1968-Q3	1968-Q2	1968-Q1	1967-Q4	1967-Q3	1967-Q2	1967-Q1	1966-Q4	1966-Q3	1966-Q2	1966-Q1	1965-Q4	1965-Q3	1965-Q2	1965-Q1	1964-Q4	1964-Q3	1964-Q2	1964-Q1	1963-Q4	1963-Q3	1963-Q2	1963-Q1	1962-Q4	1962-Q3	1962-Q2	1962-Q1	1961-Q4	1961-Q3	1961-Q2	1961-Q1	1960-Q4	1960-Q3	1960-Q2	1960-Q1	1959-Q4	1959-Q3	1959-Q2	1959-Q1	1958-Q4	1958-Q3	1958-Q2	1958-Q1	1957-Q4	1957-Q3	1957-Q2	1957-Q1	1956-Q4	1956-Q3	1956-Q2	1956-Q1	1955-Q4	1955-Q3	1955-Q2	1955-Q1	1954-Q4	1954-Q3	1954-Q2	1954-Q1	1953-Q4	1953-Q3	1953-Q2	1953-Q1	1952-Q4	1952-Q3	1952-Q2	1952-Q1	1951-Q4	1951-Q3	1951-Q2	1951-Q1	1950-Q4	1950-Q3	1950-Q2	1950-Q1	1949-Q4	1949-Q3	1949-Q2	1949-Q1	1948-Q4	1948-Q3	1948-Q2	1948-Q1	1947-Q4	1947-Q3	1947-Q2	1947-Q1	1946-Q4	1946-Q3	1946-Q2	1946-Q1	1945-Q4	1945-Q3	1945-Q2	1945-Q1	1944-Q4	1944-Q3	1944-Q2	1944-Q1	1943-Q4	1943-Q3	1943-Q2	1943-Q1	1942-Q4	1942-Q3	1942-Q2	1942-Q1	1941-Q4	1941-Q3	1941-Q2	1941-Q1	1940-Q4	1940-Q3	1940-Q2	1940-Q1	1939-Q4	1939-Q3	1939-Q2	1939-Q1	1938-Q4	1938-Q3	1938-Q2	1938-Q1	1937-Q4	1937-Q3	1937-Q2	1937-Q1	1936-Q4	1936-Q3	1936-Q2	1936-Q1	1935-Q4	1935-Q3	1935-Q2	1935-Q1	1934-Q4	1934-Q3	1934-Q2	1934-Q1	1933-Q4	1933-Q3	1933-Q2	1933-Q1	1932-Q4	1932-Q3	1932-Q2	1932-Q1	1931-Q4	1931-Q3	1931-Q2	1931-Q1	1930-Q4	1930-Q3	1930-Q2	1930-Q1	1929-Q4	1929-Q3	1929-Q2	1929-Q1	1928-Q4	1928-Q3	1928-Q2	1928-Q1	1927-Q4	1927-Q3	1927-Q2	1927-Q1	1926-Q4	1926-Q3	1926-Q2	1926-Q1	1925-Q4	1925-Q3	1925-Q2	1925-Q1
total-income-to-average-assets															8.50	8.80	9.20	9.40	9.80	10.30	10.80	11.10	11.30	11.40	11.40	11.36	11.38	11.41	11.63	11.10	11.20	11.30	11.20	10.00	9.70	9.60	9.60	9.00	9.20	9.30	9.50	10.20	10.40	10.40	10.90	12.10	12.50	12.90	13.40	12.00	11.70	11.60	11.50	10.60	10.50	10.40	10.40	11.60	12.00	12.20	12.20	14.60	14.60	14.90	14.50	15.30	14.70	14.60	14.20																																																																																																																																																																																																																																																																																																																																												
statutory-liquid-asset-ratio-(slar)-–-domestic-banking-unit-(dbu)															31.10	34.10	34.60	33.80	35.00	32.40	29.50	27.80	27.60	28.70	26.80	24.96	25.72	26.15	27.14	27.20	26.90	26.30	26.20	25.40	26.30	25.00	26.20	28.70	28.80	31.60	30.70	33.20	34.30	34.50	33.40	30.80	30.10	28.90	27.90	26.20	25.80	26.50	26.00	26.20	27.30	28.50	28.50	29.40	32.10	31.80	33.20	33.00	32.80	29.10	25.30	25.60	24.10	24.60	24.70																																																																																																																																																																																																																																																																																																																																												
statutory-liquid-assets-ratio-(slar)-–-offshore-banking-unit-(obu)															32.50	38.00	40.50	43.20	44.00	41.00	37.60	47.10	47.40	42.50	43.60	45.39	44.47	43.34	33.11	34.60	34.80	33.60	36.60	35.30	38.00	39.80	38.70	40.00	36.40	35.50	37.00	33.60	34.40	37.40	37.10	34.70	39.40	32.40	35.10	32.10	33.60	32.40	31.90	30.90	38.90	43.20	43.00	51.30	40.40	40.30	40.10	46.60	51.50	50.20	41.30	41.90	42.30	52.20	42.10																																																																																																																																																																																																																																																																																																																																												
cash-and-due-from-banks															1,184,751	983,235	923,450	954,642	863,472	878,947	1,003,837	934,470	927,604	961,870	1,014,075	973,728.86	980,712.71	866,845.85	925,291.54	923,875	893,238	828,044	866,321	903,732	804,265	717,077	711,635	737,395	612,428	596,983	743,490	868,474	812,476	716,615	615,634	532,292	527,631	515,278	578,458	501,675	487,593	487,377	450,843	426,832	387,757	373,664	396,631	375,934	349,572	289,305	330,878	386,953	366,416	325,998	299,914	284,123	314,900	358,586	330,767																																																																																																																																																																																																																																																																																																																																												
general-loan-loss-provisions															48,137	45,046	41,698	39,472	42,742	45,936	38,546	34,738	35,199	33,741	34,151	34,729.48	32,831.77	31,120.48	29,958.57	29,842	28,803	28,200	27,592	25,845	24,484	23,603	23,094	21,857	19,812	17,796	16,742	16,543	14,621	13,948	14,286	14,048	14,758	13,795	12,493	12,401	11,475	11,519	10,379	9,654	10,683	11,132	11,720	12,157	12,750	11,951	11,415	10,898	11,014	11,505	11,732	10,888	10,000	9,005	8,171																																																																																																																																																																																																																																																																																																																																												
fixed-assets-(net)															159,811	155,277	156,435	147,859	148,087	148,025	146,551	135,710	130,122	128,665	125,856	126,552.76	112,893.38	111,685.67	111,680.56	99,796	93,252	90,049	91,213	88,118	83,090	82,405	81,769	81,828	76,867	76,839	71,968	70,183	69,418	67,706	66,431	59,699	58,094	57,251	56,315	56,155	52,824	52,380	52,277	52,105	44,832	43,594	43,133	42,457	39,411	38,607	38,899	38,932	39,714	39,273	39,422	38,752	38,849	37,364	37,097																																																																																																																																																																																																																																																																																																																																												
deposits															10,742,153	10,376,386	10,016,852	9,587,312	9,065,298	8,546,793	8,294,876	7,884,735	7,695,351	7,594,973	7,467,499	7,407,814.38	7,150,006.13	6,909,510.04	6,709,976.34	6,424,432	6,208,791	5,965,350	5,730,812	5,449,413	5,152,735	4,900,400	4,788,267	4,638,976	4,356,408	4,202,518	4,051,706	3,976,635	3,828,749	3,717,581	3,662,854	3,552,439	3,420,282	3,286,034	3,187,318	3,061,297	2,927,183	2,837,824	2,729,553	2,558,731	2,425,688	2,323,055	2,219,205	2,153,425	2,018,619	1,923,914	1,877,594	1,850,591	1,797,256	1,704,676	1,620,164	1,560,247	1,532,646	1,509,973	1,458,536																																																																																																																																																																																																																																																																																																																																												
foreign-currency-(fcy)-deposits															2,166,414	2,090,211	1,961,043	1,826,337	1,690,586	1,587,546	1,587,352	1,498,308	1,479,624	1,427,592	1,423,982	1,423,800.66	1,298,366.74	1,200,892.15	1,160,842.64	1,159,109	1,109,917	1,074,672	1,048,482	1,033,103	983,294	954,461	941,191	924,753	863,600	824,863	787,754	765,610	712,721	711,668	686,613	670,593	656,427	614,273	614,681	608,355	601,579	589,482	557,492	490,901	459,889	455,377	455,047	461,661	426,052	413,512	414,148	421,844	430,442	408,757	393,751	376,828	383,836	398,657	367,080																																																																																																																																																																																																																																																																																																																																												
foreign-currency-(fcy)-time-deposits															1,400,655	1,399,232	1,305,490	1,188,751	1,119,522	1,012,806	1,017,985	977,122	963,840	920,989	913,292	887,508.11	815,339.38	768,212.07	724,786.48	724,953	715,486	676,184	649,859	628,720	614,161	597,587	596,134	575,536	544,362	520,245	500,525	462,772	450,320	435,165	431,100	430,514	411,875	375,090	381,400	373,400	357,432	358,465	339,585	284,470	262,620	239,848	258,046	262,513	260,808	252,880	244,657	249,568	261,628	255,879	233,542	224,022	219,123	228,559	207,151																																																																																																																																																																																																																																																																																																																																												
foreign-currency-(fcy)-savings-deposits															463,018	429,982	424,199	402,007	369,027	353,131	361,299	340,276	329,043	328,296	332,148	337,349.10	311,152.06	284,725.82	296,905.39	299,268	269,604	257,170	262,372	266,958	246,969	246,136	235,456	237,867	220,760	211,043	202,558	207,200	179,986	196,023	183,708	165,989	170,467	173,979	157,171	165,211	160,905	157,194	146,135	140,783	135,184	140,949	126,580	134,888	117,645	115,505	106,395	125,150	119,474	115,475	111,224	109,884	124,637	123,429	117,881																																																																																																																																																																																																																																																																																																																																												
foreign-currency-(fcy)-current-deposits															204,389	180,370	168,874	168,655	145,256	145,307	154,170	138,616	146,901	132,153	139,234	156,912.09	134,031.34	109,443.12	102,405.53	107,083	96,162	110,758	108,956	111,569	95,286	83,366	83,986	85,559	73,244	69,826	62,321	72,420	57,841	57,500	53,828	55,003	55,726	47,285	55,163	50,232	62,824	56,245	56,107	51,067	47,563	55,713	53,281	48,809	31,161	29,823	32,675	27,271	26,921	22,536	37,261	25,439	23,783	25,932	29,685																																																																																																																																																																																																																																																																																																																																												
foreign-currency-(fcy)-other-deposits															98,352	80,627	62,480	66,924	56,781	76,302	53,898	42,295	39,841	46,155	39,307	42,031.37	37,843.96	38,511.14	36,745.24	27,806	28,666	30,559	27,296	25,855	26,880	27,371	25,616	25,791	25,234	23,750	22,350	23,218	24,575	22,979	17,977	19,087	18,359	17,919	20,947	19,512	20,418	17,578	15,666	14,581	14,522	18,867	17,141	15,451	16,438	15,305	30,421	19,855	22,419	14,866	11,724	17,483	16,293	20,737	12,364																																																																																																																																																																																																																																																																																																																																												
borrowings															1,890,351	1,734,907	1,657,964	1,586,767	1,601,824	1,570,642	1,685,968	1,536,754	1,473,856	1,384,031	1,408,327	1,571,108.20	1,442,496.43	1,259,646.42	1,347,195.53	1,342,446	1,380,309	1,482,953	1,540,359	1,445,163	1,473,453	1,533,702	1,597,881	1,518,959	1,387,369	1,238,695	1,268,848	1,186,197	1,018,731	892,118	817,791	825,504	838,602	834,017	810,210	727,132	727,312	758,323	671,346	566,709	521,563	526,692	483,659	450,293	421,378	367,365	343,202	334,610	335,616	359,408	404,387	400,130	434,310	433,570	413,673																																																																																																																																																																																																																																																																																																																																												
foreign-currency-(fcy)-borrowings															749,236	874,073	858,431	882,641	978,466	1,028,678	1,150,490	969,593	918,231	859,922	827,111	954,579.75	869,411.59	730,108.90	815,653.69	851,528	894,707	936,898	939,924	878,698	884,451	922,010	946,182	932,439	802,242	748,675	764,170	711,373	582,451	532,679	486,585	529,923	549,449	514,087	500,088	429,482	418,830	430,290	347,408	257,989	192,823	199,848	164,746	146,223	114,047	90,236	95,606	95,823	107,851	111,391	127,305	127,872	173,314	186,356	166,637																																																																																																																																																																																																																																																																																																																																												
equity-capital-&-reserves															1,279,845	1,235,486	1,188,310	1,150,382	1,122,979	1,091,204	1,065,425	1,042,188	1,016,798	988,232	949,631	940,810.74	887,504.65	852,562.07	817,952.63	793,513	758,640	710,765	668,050	645,940	622,118	604,985	584,927	574,147	542,981	520,949	502,777	490,744	479,149	446,993	430,993	418,897	404,685	390,795	380,083	366,930	353,424	335,957	323,147	305,429	284,328	257,104	242,748	236,381	223,641	217,212	201,423	197,910	195,861	190,260	184,267	179,050	175,658	170,906	169,118																																																																																																																																																																																																																																																																																																																																												
core-capital-(tier-i)															1,067,767	1,037,119	1,012,270	980,615	964,005	949,037	950,690	907,582	901,821	878,941	849,654	799,379.20	803,129.67	768,851.63	729,353.41	681,235	662,748	630,251	600,439	576,998	543,355	532,670	519,748	524,356	470,407	463,356	452,784	457,161	415,570	398,206	389,097	393,003	349,871	338,575	331,819	337,418	297,634	288,596	276,151	282,677	246,899	226,276	218,813	220,440	197,984	193,144	183,118	183,306	167,446	166,805	163,800	165,223	149,864	149,119	148,087																																																																																																																																																																																																																																																																																																																																												
eligible-core-capital															990,248	979,832	958,280	927,827	911,782	896,446	898,169	864,428	856,552	838,907	811,461	762,070.97	767,789.35	734,216.70	696,671.72	650,518	629,906	607,524	577,902	555,571	521,655	514,398	500,205	506,641	449,428	444,800	435,572	442,752	402,925	383,838	374,246	380,024	329,815	323,638	315,915	323,773	280,287	274,131	263,980	271,188	230,928	216,336	209,350	209,462	185,070	177,247	174,580	175,336	158,483	157,762	155,769	159,497	143,140	142,616	139,419																																																																																																																																																																																																																																																																																																																																												
deductions-adjustments-for-core-capital-(tier-ii)															485	820	1,003	1,216	1,935	2,034	2,215	2,455	2,822	2,541	2,563	2,614.75	3,006.78	3,124.25	3,117.02	2,497	2,495	14,529	13,994	13,845	12,136	11,859	11,763	11,622	9,949	9,808	9,762	9,264	8,766	8,259	7,989	8,236	7,724	7,453	7,564	7,695	8,093	8,008	7,936	8,019	7,178	7,305	7,151	6,921	6,722	6,755	5,936	5,732	4,881	4,370	4,540	4,480	4,424	4,153	4,427																																																																																																																																																																																																																																																																																																																																												
capital-base-(regulatory-capital)															1,250,295	1,229,086	1,197,287	1,175,553	1,162,534	1,121,032	1,127,569	1,100,403	1,085,406	1,043,787	1,013,155	963,715.30	968,347.70	920,393.57	884,307.02	805,231	776,606	752,784	722,166	702,077	639,741	628,455	613,867	607,916	546,846	541,518	529,397	535,673	491,081	466,558	459,822	465,391	396,191	389,646	375,534	373,522	325,177	320,035	307,124	312,932	265,828	248,543	243,527	244,768	223,264	214,763	208,639	209,717	194,602	196,210	194,823	197,796	172,489	171,183	167,110																																																																																																																																																																																																																																																																																																																																												
foreign-exchange-income-(net)															38,910	29,432	18,625	31,102	24,321	19,062	13,964	26,309	20,312	11,415	3,312	47,355.82	28,439.69	15,052.71	7,129.21	23,134	17,504	13,008	6,905	25,551	18,828	12,801	7,119	27,180	20,171	10,681	5,416	19,036	12,479	8,645	4,563	17,336	14,312	8,613	4,371	26,827	23,230	19,676	11,795	15,065	10,054	6,036	3,233	11,922	8,443	6,073	3,017	12,056	9,355	6,462	4,209	13,843	8,363	5,448	2,080																																																																																																																																																																																																																																																																																																																																												
